pagenation,region,hpatitisc-incidence,heptitisc-ir,heptitisc-death,heptitisc-dr,heptitisb-incidence,heptitisb-death,heptitisb-ir,heptitisb-dr,hepatitise-incidence,hepatitise-death,hepatitise-ir,hepatitise-dr,hepatitisa-incidence,hepatitisa-death,hepatitisa-ir,hepatitisa-dr,hepatitis-incidence,hepatitis-death,hepatitis-ir,hepatitis-dr,hepatitisun-incidence,hepatitisun-death,hepatitisun-ir,hepatitisun-dr
6-Feb,广东省,419,0.4557,0,0,7327,10,7.9693,0.0109,183,1,0.199,0.0011,154,1,0.1675,0.0011,8394,13,9.1299,0.0141,311,1,0.3383,0.0011
5-Dec,北京市,96,0.6249,0,0,508,3,3.3066,0.0195,17,0,0.1107,0,24,0,0.1562,0,699,3,4.5498,0.0195,54,0,0.3515,0
12-Aug,福建省,191,0.5134,0,0,3903,3,10.4919,0.0081,86,0,0.2312,0,50,0,0.1344,0,4764,3,12.8065,0.0081,534,0,1.4355,0
15-Aug,全??? 国,16611,1.2192,7,0.0005,77425,41,5.6827,0.003,1931,0,0.1417,0,1907,0,0.14,0,100269,49,7.3594,0.0036,2395,1,0.1758,0.0001
11-Sep,青海省,113,2.0083,0,0,1069,0,18.9987,0,3,0,0.0533,0,107,0,1.9016,0,1314,0,23.3529,0,22,0,0.391,0
8-Mar,北京市,161,0.9859,0,0,529,6,3.2394,0.0367,50,0,0.3062,0,28,0,0.1715,0,793,6,4.856,0.0367,25,0,0.1531,0
7-Mar,辽宁省,391,0.9155,0,0,2626,1,6.1484,0.0023,232,1,0.5432,0.0023,234,0,0.5479,0,3716,2,8.7005,0.0047,233,0,0.5455,0
8-Jan,辽宁省,428,0.9958,1,0.0023,2989,1,6.9544,0.0023,150,0,0.349,0,118,0,0.2745,0,3886,2,9.0414,0.0047,201,0,0.4677,0
4-Mar,江苏省,97,0.1282,0,0,2029,4,2.6808,0.0053,336,1,0.4439,0.0013,524,1,0.6923,0.0013,4077,7,5.3867,0.0092,1091,1,1.4415,0.0013
12-Mar,内蒙古,632,2.5466,0,0,2802,2,11.2906,0.0081,7,0,0.0282,0,23,0,0.0927,0,3478,2,14.0145,0.0081,14,0,0.0564,0
16-Jun,辽宁省,710,1.6169,1,0.0023,1496,1,3.407,0.0023,139,0,0.3166,0,230,0,0.5238,0,2703,2,6.1558,0.0046,128,0,0.2915,0
8-Mar,贵州省,157,0.4173,0,0,3041,3,8.0835,0.008,13,0,0.0346,0,505,0,1.3424,0,3823,3,10.1621,0.008,107,0,0.2844,0
14-Sep,重庆市,271,0.9125,0,0,1334,2,4.4916,0.0067,87,0,0.2929,0,96,0,0.3232,0,1837,2,6.1852,0.0067,49,0,0.165,0
15-Nov,湖北省,676,1.1623,0,0,4603,1,7.9144,0.0017,185,0,0.3181,0,58,0,0.0997,0,5678,1,9.7627,0.0017,156,0,0.2682,0
14-Apr,重庆市,260,0.8754,0,0,1589,2,5.3502,0.0067,80,0,0.2694,0,82,0,0.2761,0,2062,2,6.9428,0.0067,51,0,0.1717,0
16-Sep,青海省,132,2.2625,0,0,626,1,10.7298,0.0171,8,0,0.1371,0,23,0,0.3942,0,794,1,13.6094,0.0171,5,0,0.0857,0
9-Aug,福建省,164,0.4515,0,0,3712,1,10.2186,0.0028,42,0,0.1156,0,85,0,0.234,0,4449,1,12.2475,0.0028,446,0,1.2278,0
11-Mar,河北省,534,0.7432,0,0,5061,1,7.0434,0.0014,154,0,0.2143,0,82,0,0.1141,0,5937,1,8.2625,0.0014,106,0,0.1475,0
15-May,云南省,964,2.045,1,0.0021,2130,2,4.5186,0.0042,100,0,0.2121,0,115,0,0.244,0,3328,3,7.06,0.0064,19,0,0.0403,0
9-Jan,青海省,108,1.9484,0,0,1521,2,27.4399,0.0361,5,0,0.0902,0,54,0,0.9742,0,1696,2,30.597,0.0361,8,0,0.1443,0
7-Apr,湖北省,280,0.4918,0,0,6100,4,10.7149,0.007,160,1,0.281,0.0018,261,0,0.4585,0,7201,5,12.6489,0.0088,400,0,0.7026,0
10-Jul,天津市,31,0.2524,0,0,181,0,1.4737,0,5,0,0.0407,0,3,0,0.0244,0,228,0,1.8564,0,8,0,0.0651,0
15-Jun,北京市,77,0.3579,1,0.0046,145,9,0.6739,0.0418,29,0,0.1348,0,11,0,0.0511,0,266,10,1.2363,0.0465,4,0,0.0186,0
8-Sep,建设兵团,87,3.3659,0,0,238,4,9.2079,0.1548,1,0,0.0387,0,16,0,0.619,0,348,4,13.4637,0.1548,6,0,0.2321,0
11-Feb,福建省,162,0.4391,0,0,4584,1,12.4247,0.0027,137,0,0.3713,0,51,0,0.1382,0,5370,1,14.5551,0.0027,436,0,1.1818,0
